,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,Home/Away,REST,OPP_REST,W/L,+/-
185,HOU,11/7/16,48,0.627,0.228,0.182,0.171,0.468,0.213,0.156,0.34,WAS,0,2,2,1,8
186,WAS,11/7/16,48,0.468,0.213,0.156,0.34,0.627,0.228,0.182,0.171,HOU,1,2,2,0,-8
187,CHA,11/7/16,48,0.56,0.381,0.112,0.07,0.473,0.16,0.169,0.231,IND,1,3,2,1,22
188,PHI,11/7/16,48,0.448,0.286,0.188,0.205,0.571,0.235,0.107,0.233,UTA,1,2,1,0,-25
189,GSW,11/7/16,48,0.589,0.133,0.15,0.238,0.531,0.338,0.198,0.282,NOP,1,3,3,1,10
190,DET,11/7/16,48,0.39,0.317,0.118,0.2,0.625,0.289,0.125,0.067,LAC,0,2,2,0,-32
191,UTA,11/7/16,48,0.571,0.235,0.107,0.233,0.448,0.286,0.188,0.205,PHI,0,1,2,1,25
192,NOP,11/7/16,48,0.531,0.338,0.198,0.282,0.589,0.133,0.15,0.238,GSW,0,3,3,0,-10
193,LAC,11/7/16,48,0.625,0.289,0.125,0.067,0.39,0.317,0.118,0.2,DET,1,2,2,1,32
194,CHI,11/7/16,48,0.489,0.348,0.093,0.313,0.441,0.071,0.155,0.128,ORL,1,2,2,1,32
195,ORL,11/7/16,48,0.441,0.071,0.155,0.128,0.489,0.348,0.093,0.313,CHI,0,2,2,0,-32
196,IND,11/7/16,48,0.473,0.16,0.169,0.231,0.56,0.381,0.112,0.07,CHA,0,2,3,0,-22
197,MIA,11/7/16,48,0.393,0.262,0.128,0.245,0.488,0.2,0.179,0.256,OKC,0,3,2,0,-12
198,CLE,11/8/16,48,0.429,0.253,0.058,0.25,0.574,0.296,0.191,0.297,ATL,1,3,3,0,-4
199,DEN,11/8/16,48,0.571,0.486,0.218,0.2,0.552,0.221,0.139,0.195,MEM,0,2,2,0,-1
200,ATL,11/8/16,48,0.574,0.296,0.191,0.297,0.429,0.253,0.058,0.25,CLE,0,3,3,1,4
201,BKN,11/8/16,48,0.632,0.342,0.203,0.161,0.489,0.304,0.16,0.283,MIN,1,4,3,1,9
202,NOP,11/8/16,48,0.482,0.214,0.115,0.171,0.531,0.247,0.105,0.132,SAC,0,1,2,0,-8
203,MEM,11/8/16,48,0.552,0.221,0.139,0.195,0.571,0.486,0.218,0.2,DEN,1,2,2,1,1
204,SAC,11/8/16,48,0.531,0.247,0.105,0.132,0.482,0.214,0.115,0.171,NOP,1,2,1,1,8
205,PHX,11/8/16,48,0.541,0.384,0.158,0.349,0.642,0.346,0.188,0.212,POR,0,2,2,0,-3
206,POR,11/8/16,48,0.642,0.346,0.188,0.212,0.541,0.384,0.158,0.349,PHX,1,2,2,1,3
207,MIN,11/8/16,48,0.489,0.304,0.16,0.283,0.632,0.342,0.203,0.161,BKN,0,3,4,0,-9
208,LAL,11/8/16,48,0.551,0.179,0.182,0.216,0.585,0.183,0.12,0.216,DAL,1,2,2,0,-12
209,DAL,11/8/16,48,0.585,0.183,0.12,0.216,0.551,0.179,0.182,0.216,LAL,0,2,2,1,12
210,TOR,11/9/16,48,0.584,0.265,0.132,0.2,0.5,0.419,0.215,0.282,OKC,0,3,2,1,10
211,MIN,11/9/16,48,0.592,0.299,0.073,0.27,0.494,0.353,0.095,0.255,ORL,0,1,2,1,16
212,POR,11/9/16,48,0.386,0.159,0.144,0.212,0.5,0.379,0.074,0.28,LAC,0,1,2,0,-31
213,ATL,11/9/16,48,0.56,0.325,0.219,0.361,0.5,0.231,0.132,0.186,CHI,1,1,2,1,8
214,GSW,11/9/16,48,0.696,0.297,0.16,0.147,0.43,0.326,0.076,0.277,DAL,1,2,1,1,21
215,LAC,11/9/16,48,0.5,0.379,0.074,0.28,0.386,0.159,0.144,0.212,POR,1,2,1,1,31
216,HOU,11/9/16,48,0.538,0.282,0.201,0.216,0.435,0.357,0.103,0.213,SAS,0,2,4,1,2
217,SAS,11/9/16,48,0.435,0.357,0.103,0.213,0.538,0.282,0.201,0.216,HOU,1,4,2,0,-2
218,IND,11/9/16,48,0.594,0.222,0.148,0.175,0.558,0.2,0.154,0.217,PHI,1,2,2,1,7
219,DET,11/9/16,48,0.41,0.36,0.113,0.188,0.5,0.357,0.171,0.238,PHX,0,2,1,0,-7
220,ORL,11/9/16,48,0.494,0.353,0.095,0.255,0.592,0.299,0.073,0.27,MIN,1,2,1,0,-16
221,DAL,11/9/16,48,0.43,0.326,0.076,0.277,0.696,0.297,0.16,0.147,GSW,0,1,2,0,-21
222,WAS,11/9/16,48,0.554,0.217,0.128,0.442,0.494,0.272,0.116,0.167,BOS,1,2,3,1,25
223,OKC,11/9/16,48,0.5,0.419,0.215,0.282,0.584,0.265,0.132,0.2,TOR,1,2,3,0,-10
224,BKN,11/9/16,48,0.487,0.342,0.177,0.146,0.533,0.185,0.134,0.214,NYK,0,1,3,0,-14
