ID,Year,Player,Pos,Age,Tm,G,TS%,FTr,OWS,DWS,WS,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,AST,PF,PTS
24632,2017,Tyler Ulis,PG,21,PHO,61,0.474,0.162,0.3,0.4,0.7,184,437,0.421,163,358,0.455,0.445,55,71,0.775,226,73,444
24633,2017,Jarrod Uthoff,PF,23,DAL,9,0.487,0.184,0.1,0.1,0.2,16,38,0.421,13,29,0.448,0.461,5,7,0.714,9,8,40
24634,2017,Jonas Valanciunas,C,24,TOR,80,0.601,0.309,4.9,3,7.9,391,702,0.557,390,700,0.557,0.558,176,217,0.811,57,216,959
24635,2017,Denzel Valentine,SG,23,CHI,57,0.492,0.063,-0.5,1.1,0.6,102,288,0.354,29,80,0.363,0.481,14,18,0.778,63,86,291
24636,2017,Fred VanVleet,PG,22,TOR,37,0.443,0.198,-0.1,0.4,0.3,39,111,0.351,28,82,0.341,0.401,18,22,0.818,35,36,107
24637,2017,Anderson Varejao,C,34,GSW,14,0.478,0.786,0,0.1,0.2,5,14,0.357,5,14,0.357,0.357,8,11,0.727,10,16,18
24638,2017,Greivis Vasquez,PG,30,BRK,3,0.376,0.375,0,0,0,2,8,0.25,1,5,0.2,0.313,2,3,0.667,5,6,7
24639,2017,Rashad Vaughn,SG,20,MIL,41,0.449,0.032,-0.5,0.4,0,57,156,0.365,31,75,0.413,0.449,2,5,0.4,23,32,142
24640,2017,Noah Vonleh,PF,21,POR,74,0.525,0.348,0.6,1.2,1.8,130,270,0.481,123,250,0.492,0.494,60,94,0.638,31,154,327
24641,2017,Nikola Vucevic,C,26,ORL,75,0.498,0.155,0.8,3.2,4,483,1031,0.468,460,956,0.481,0.48,107,160,0.669,208,180,1096
24642,2017,Sasha Vujacic,SG,32,NYK,42,0.423,0.176,-0.1,0.2,0.1,42,136,0.309,19,62,0.306,0.393,17,24,0.708,52,38,124
24643,2017,Dwyane Wade,SG,35,CHI,60,0.508,0.294,0.9,2.5,3.4,414,955,0.434,369,810,0.456,0.457,223,281,0.794,229,112,1096
24644,2017,Dion Waiters,SG,25,MIA,46,0.507,0.192,0.2,1.5,1.6,281,663,0.424,196,448,0.438,0.488,82,127,0.646,200,95,729
24645,2017,Kemba Walker,PG,26,CHO,79,0.569,0.248,5.9,2.2,8.1,643,1449,0.444,403,847,0.476,0.527,304,359,0.847,435,119,1830
24646,2017,John Wall,PG,26,WAS,78,0.541,0.367,5.7,3,8.8,647,1435,0.451,558,1163,0.48,0.482,422,527,0.801,831,151,1805
24647,2017,Taurean Waller-Prince,SF,22,ATL,59,0.513,0.33,-0.4,1.5,1.1,114,285,0.4,81,183,0.443,0.458,74,94,0.787,55,96,335
24648,2017,T.J. Warren,SF,23,PHO,66,0.539,0.189,3,1.1,4.1,403,814,0.495,377,716,0.527,0.511,119,154,0.773,75,175,951
24649,2017,C.J. Watson,PG,32,ORL,62,0.507,0.266,0.2,0.6,0.9,96,248,0.387,64,143,0.448,0.452,57,66,0.864,114,84,281
24650,2017,Briante Weber,PG,24,TOT,20,0.462,0.267,0,0.2,0.3,25,60,0.417,24,50,0.48,0.425,11,16,0.688,21,16,62
24651,2017,Briante Weber,PG,24,GSW,7,0.392,0.214,-0.1,0.1,0,5,14,0.357,5,11,0.455,0.357,2,3,0.667,5,4,12
24652,2017,Briante Weber,PG,24,CHO,13,0.483,0.283,0.1,0.2,0.3,20,46,0.435,19,39,0.487,0.446,9,13,0.692,16,12,50
