,TEAM,MATCH UP,GAME DATE,MIN,EFG%,FTA RATE,TOV%,TOV,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_TOV,OPP_OREB%,OPP,Home/Away,REST,PTS,OPP_PTS,+/-,WIN,OPP_REST
106,SAS,SAS vs. UTA,11/1/16,48,0.474,0.276,0.11,11,0.098,0.599,0.237,0.118,11.8,0.063,UTA,1,2,91,106,-15,0,2
107,NYK,NYK @ DET,11/1/16,48,0.448,0.174,0.124,12.4,0.174,0.506,0.236,0.111,11.1,0.222,DET,0,3,89,102,-13,0,2
108,WAS,WAS vs. TOR,11/2/16,48,0.604,0.333,0.215,21.5,0.182,0.623,0.325,0.134,13.4,0.118,TOR,1,3,103,113,-10,0,2
109,ATL,ATL vs. LAL,11/2/16,48,0.547,0.341,0.17,17,0.244,0.583,0.222,0.146,14.6,0.289,LAL,1,2,116,123,-7,0,1
110,LAC,LAC vs. OKC,11/2/16,48,0.431,0.207,0.179,17.9,0.16,0.435,0.238,0.21,21,0.233,OKC,1,2,83,85,-2,0,3
111,NYK,NYK vs. HOU,11/2/16,48,0.482,0.294,0.152,15.2,0.167,0.556,0.303,0.196,19.6,0.413,HOU,1,1,99,118,-19,0,1
112,MEM,MEM vs. NOP,11/2/16,53,0.394,0.213,0.182,18.2,0.255,0.438,0.198,0.209,20.9,0.114,NOP,1,1,89,83,6,1,1
113,PHI,PHI @ CHA,11/2/16,48,0.465,0.174,0.183,18.3,0.186,0.576,0.329,0.156,15.6,0.237,CHA,0,1,93,109,-16,0,4
114,CHA,CHA vs. PHI,11/2/16,48,0.576,0.329,0.156,15.6,0.237,0.465,0.174,0.183,18.3,0.186,PHI,1,4,109,93,16,1,1
115,BKN,BKN vs. DET,11/2/16,48,0.625,0.224,0.195,19.5,0.152,0.472,0.239,0.13,13,0.2,DET,1,2,109,101,8,1,1
116,TOR,TOR @ WAS,11/2/16,48,0.623,0.325,0.134,13.4,0.118,0.604,0.333,0.215,21.5,0.182,WAS,0,2,113,103,10,1,3
117,UTA,UTA vs. DAL,11/2/16,48,0.532,0.338,0.128,12.8,0.189,0.474,0.13,0.147,14.7,0.15,DAL,1,1,97,81,16,1,3
118,DET,DET @ BKN,11/2/16,48,0.472,0.239,0.13,13,0.2,0.625,0.224,0.195,19.5,0.152,BKN,0,1,101,109,-8,0,2
119,PHX,PHX vs. POR,11/2/16,53,0.451,0.291,0.105,10.5,0.246,0.475,0.208,0.13,13,0.182,POR,1,2,118,115,3,1,1
120,NOP,NOP @ MEM,11/2/16,53,0.438,0.198,0.209,20.9,0.114,0.394,0.213,0.182,18.2,0.255,MEM,0,1,83,89,-6,0,1
121,OKC,OKC @ LAC,11/2/16,48,0.435,0.238,0.21,21,0.233,0.431,0.207,0.179,17.9,0.16,LAC,0,3,85,83,2,1,2
122,BOS,BOS vs. CHI,11/2/16,48,0.552,0.195,0.124,12.4,0.227,0.475,0.383,0.193,19.3,0.341,CHI,1,4,107,100,7,1,2
123,POR,POR @ PHX,11/2/16,53,0.475,0.208,0.13,13,0.182,0.451,0.291,0.105,10.5,0.246,PHX,0,1,115,118,-3,0,2
124,LAL,LAL @ ATL,11/2/16,48,0.583,0.222,0.146,14.6,0.289,0.547,0.341,0.17,17,0.244,ATL,0,1,123,116,7,1,2
125,CHI,CHI @ BOS,11/2/16,48,0.475,0.383,0.193,19.3,0.341,0.552,0.195,0.124,12.4,0.227,BOS,0,2,100,107,-7,0,4
126,HOU,HOU @ NYK,11/2/16,48,0.556,0.303,0.196,19.6,0.413,0.482,0.294,0.152,15.2,0.167,NYK,0,1,118,99,19,1,1
127,DAL,DAL @ UTA,11/2/16,48,0.474,0.13,0.147,14.7,0.15,0.532,0.338,0.128,12.8,0.189,UTA,0,3,81,97,-16,0,1
128,SAC,SAC @ ORL,11/3/16,48,0.519,0.213,0.155,15.5,0.262,0.512,0.274,0.147,14.7,0.317,ORL,0,2,94,102,-8,0,2
129,MIN,MIN vs. DEN,11/3/16,48,0.449,0.284,0.158,15.8,0.275,0.519,0.309,0.206,20.6,0.194,DEN,1,2,99,102,-3,0,3
130,ORL,ORL vs. SAC,11/3/16,48,0.512,0.274,0.147,14.7,0.317,0.519,0.213,0.155,15.5,0.262,SAC,1,2,102,94,8,1,2
131,IND,IND @ MIL,11/3/16,48,0.531,0.333,0.202,20.2,0.256,0.646,0.293,0.207,20.7,0.353,MIL,0,2,107,125,-18,0,2
132,BOS,BOS @ CLE,11/3/16,48,0.536,0.229,0.077,7.7,0.222,0.571,0.44,0.079,7.9,0.194,CLE,0,1,122,128,-6,0,2
133,CLE,CLE vs. BOS,11/3/16,48,0.571,0.44,0.079,7.9,0.194,0.536,0.229,0.077,7.7,0.222,BOS,1,2,128,122,6,1,1
134,MIL,MIL vs. IND,11/3/16,48,0.646,0.293,0.207,20.7,0.353,0.531,0.333,0.202,20.2,0.256,IND,1,2,125,107,18,1,2
