,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,REST,OPP_REST,W/L,Home/Away,+/-
130,CHI,12/06/2017,48,53.0%,0.193,16.8,25.6%,51.7%,0.115,13.3,16.7%,IND,2,2,0,0,-2
131,CHI,12/08/2017,53,51.5%,0.222,12.0,12.8%,45.0%,0.29,9.6,15.3%,CHA,2,2,1,0,8
132,CHI,12/09/2017,48,55.5%,0.28,15.1,20.0%,51.1%,0.099,14.7,20.0%,NYK,1,3,1,1,2
133,CHI,12/11/2017,48,55.6%,0.309,9.9,22.2%,45.8%,0.16899999999999998,17.0,23.4%,BOS,2,1,1,1,23
134,CLE,10/17/2017,48,48.8%,0.301,16.7,19.6%,45.5%,0.284,11.8,18.0%,BOS,0,0,1,1,3
135,CLE,10/20/2017,48,61.1%,0.21,18.5,29.0%,53.0%,0.146,15.9,18.6%,MIL,3,2,1,0,19
136,CLE,10/21/2017,48,42.4%,0.314,15.6,22.4%,53.9%,0.222,12.1,26.7%,ORL,1,1,0,1,-21
137,CLE,10/24/2017,48,61.4%,0.265,9.6,20.5%,57.4%,0.14800000000000002,12.3,20.5%,CHI,3,3,1,1,7
138,CLE,10/25/2017,48,55.6%,0.321,20.1,24.3%,52.2%,0.226,12.4,20.8%,BKN,1,1,0,0,-5
139,CLE,10/28/2017,48,53.8%,0.295,17.8,11.9%,58.4%,0.168,10.7,23.8%,NOP,3,2,0,0,-22
140,CLE,10/29/2017,48,44.4%,0.33299999999999996,14.9,14.9%,54.5%,0.23600000000000002,13.8,24.4%,NYK,1,2,0,1,-19
141,CLE,11/01/2017,48,54.1%,0.233,15.6,18.6%,63.3%,0.14400000000000002,13.8,19.5%,IND,3,1,0,1,-17
142,CLE,11/03/2017,48,63.4%,0.341,14.8,22.2%,60.1%,0.369,15.3,25.7%,WAS,2,2,1,0,8
143,CLE,11/05/2017,48,49.0%,0.24,12.5,31.3%,54.1%,0.395,15.9,25.6%,ATL,2,2,0,1,-2
144,CLE,11/07/2017,48,55.5%,0.46299999999999997,13.0,30.0%,64.5%,0.193,16.3,22.9%,MIL,2,4,1,1,5
145,CLE,11/09/2017,48,63.0%,0.17300000000000001,18.6,12.5%,57.1%,0.46799999999999997,22.5,43.6%,HOU,2,4,0,0,-4
146,CLE,11/11/2017,48,50.6%,0.43200000000000005,16.4,23.3%,47.8%,0.228,10.7,17.3%,DAL,2,4,1,0,7
147,CLE,11/13/2017,48,48.9%,0.25,20.1,28.0%,47.7%,0.25,16.7,27.7%,NYK,2,2,1,0,3
148,CLE,11/15/2017,48,51.1%,0.21100000000000002,13.8,32.7%,51.2%,0.326,12.6,18.6%,CHA,2,5,1,0,8
149,CLE,11/17/2017,53,52.8%,0.322,13.7,16.0%,49.5%,0.136,13.5,23.2%,LAC,2,4,1,1,5
150,CLE,11/20/2017,48,62.5%,0.213,12.0,20.6%,52.6%,0.16899999999999998,15.6,16.7%,DET,3,1,1,0,28
151,CLE,11/22/2017,48,61.0%,0.32899999999999996,10.0,10.5%,60.5%,0.198,19.2,21.6%,BKN,2,3,1,1,10
152,CLE,11/24/2017,48,53.6%,0.18100000000000002,12.2,7.0%,44.1%,0.287,9.0,26.3%,CHA,2,2,1,1,1
153,CLE,11/27/2017,48,56.4%,0.233,12.5,26.2%,39.1%,0.20800000000000002,14.5,38.6%,PHI,3,2,1,0,22
154,CLE,11/28/2017,48,56.2%,0.284,14.0,12.8%,50.0%,0.23800000000000002,15.0,16.7%,MIA,1,2,1,1,11
155,CLE,11/30/2017,48,63.3%,0.342,20.2,36.4%,59.5%,0.304,18.1,22.2%,ATL,2,5,1,0,7
156,CLE,12/02/2017,48,63.3%,0.307,11.6,3.2%,58.9%,0.16699999999999998,13.4,16.7%,MEM,2,1,1,1,5
157,CLE,12/04/2017,48,59.9%,0.21,8.7,13.2%,47.0%,0.22,12.1,19.6%,CHI,2,3,1,0,22
158,CLE,12/06/2017,48,56.4%,0.26899999999999996,15.7,16.3%,51.2%,0.151,14.5,20.0%,SAC,2,4,1,1,6
159,CLE,12/08/2017,48,49.4%,0.256,12.2,19.1%,52.9%,0.27899999999999997,10.6,25.5%,IND,2,2,0,0,-4
160,CLE,12/09/2017,48,57.3%,0.32,18.5,15.8%,54.5%,0.16699999999999998,19.8,20.6%,PHI,1,2,1,1,7
161,CLE,12/12/2017,48,67.4%,0.11599999999999999,13.3,18.2%,55.4%,0.141,10.2,24.4%,ATL,3,2,1,1,9
162,DAL,10/18/2017,48,54.1%,0.244,15.6,20.0%,55.9%,0.16,13.1,30.4%,ATL,0,0,0,1,-6
163,DAL,10/20/2017,48,48.7%,0.28,13.4,14.6%,48.3%,0.149,16.4,35.6%,SAC,2,2,0,1,-5
164,DAL,10/21/2017,48,44.6%,0.25,14.1,14.8%,54.3%,0.268,15.2,19.5%,HOU,1,3,0,0,-16
165,DAL,10/23/2017,48,44.3%,0.313,11.2,25.9%,64.5%,0.302,15.5,26.3%,GSW,2,2,0,1,-30
166,DAL,10/25/2017,48,56.1%,0.392,11.7,11.8%,54.2%,0.33299999999999996,19.0,16.2%,MEM,2,2,1,1,9
167,DAL,10/26/2017,48,39.4%,0.213,14.2,32.7%,47.9%,0.41100000000000003,18.9,20.5%,MEM,1,1,0,0,-5
168,DAL,10/28/2017,48,64.2%,0.257,18.5,8.8%,58.6%,0.161,14.6,26.8%,PHI,2,3,0,1,-2
169,DAL,10/30/2017,48,52.6%,0.145,25.0,23.7%,56.8%,0.185,14.6,15.4%,UTA,2,2,0,0,-15
170,DAL,11/01/2017,48,46.1%,0.225,13.6,17.6%,60.9%,0.37200000000000005,16.0,19.4%,LAC,2,2,0,0,-21
171,DAL,11/03/2017,48,43.8%,0.25,14.5,17.0%,44.4%,0.292,13.3,19.1%,NOP,2,2,0,1,-5
172,DAL,11/04/2017,48,51.7%,0.138,15.0,15.6%,60.8%,0.253,19.6,29.4%,MIN,1,3,0,0,-13
173,DAL,11/07/2017,48,53.3%,0.22,11.9,23.4%,49.3%,0.42700000000000005,14.8,6.7%,WAS,3,2,1,0,14
174,DAL,11/11/2017,48,47.8%,0.228,10.7,17.3%,50.6%,0.43200000000000005,16.4,23.3%,CLE,4,2,0,1,-7
175,DAL,11/12/2017,48,48.9%,0.207,19.2,24.4%,60.4%,0.45799999999999996,16.9,9.1%,OKC,1,2,0,0,-13
