TEAM,MATCH UP,GAME DATE,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP_TEAM,OPP_PTS,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,Home/Away,Rest,temp,diff,WIN
BOS,BOS vs. PHI,02/15/2017,48,116,38,80,47.5,13,28,46.4,27,36,75.0,6,33,39,21,24,13,4,18,8,PHI,108,44,93,47.3,8,31,25.8,12,18,66.7,12,35,47,23,22,16,5,23,1,2,2017-02-15,2.0,1
BOS,BOS @ CHI,02/16/2017,48,103,36,77,46.8,14,37,37.8,17,20,85.0,4,27,31,24,7,2,4,18,-1,CHI,104,38,90,42.2,6,25,24.0,22,22,100.0,15,36,51,23,8,2,6,13,0,1,2017-02-16,1.0,0
BOS,BOS @ TOR,02/24/2017,48,97,33,78,42.3,12,38,31.6,19,22,86.4,7,29,36,19,12,4,3,21,-10,TOR,107,40,81,49.4,5,15,33.3,22,29,75.9,10,31,41,15,11,7,4,21,0,8,2017-02-24,8.0,0
BOS,BOS @ DET,02/26/2017,48,104,34,85,40.0,12,35,34.3,24,30,80.0,9,43,52,22,16,9,1,26,6,DET,98,35,81,43.2,12,33,36.4,16,35,45.7,11,34,45,22,17,8,4,24,0,2,2017-02-26,2.0,1
BOS,BOS vs. ATL,02/27/2017,48,98,34,87,39.1,10,34,29.4,20,25,80.0,9,31,40,21,18,9,7,20,-16,ATL,114,46,95,48.4,6,25,24.0,16,20,80.0,13,42,55,22,14,10,10,19,1,1,2017-02-27,1.0,0
BOS,BOS vs. CLE,03/01/2017,48,103,36,78,46.2,13,31,41.9,18,23,78.3,8,39,47,28,12,4,6,21,4,CLE,99,37,91,40.7,10,33,30.3,15,22,68.2,12,29,41,20,11,3,5,21,1,2,2017-03-01,2.0,1
BOS,BOS @ LAL,03/03/2017,48,115,43,84,51.2,10,33,30.3,19,25,76.0,6,40,46,30,18,7,2,17,20,LAL,95,37,87,42.5,6,24,25.0,15,20,75.0,6,28,34,23,14,11,7,21,0,2,2017-03-03,2.0,1
BOS,BOS @ PHX,03/05/2017,48,106,32,85,37.6,13,37,35.1,29,40,72.5,14,40,54,19,14,6,6,28,-3,PHX,109,42,94,44.7,4,20,20.0,21,26,80.8,10,40,50,16,11,7,10,29,0,2,2017-03-05,2.0,0
BOS,BOS @ LAC,03/06/2017,48,102,34,83,41.0,10,35,28.6,24,29,82.8,7,30,37,22,11,9,2,31,-14,LAC,116,39,73,53.4,9,20,45.0,29,47,61.7,8,39,47,23,13,7,5,24,0,1,2017-03-06,1.0,0
BOS,BOS @ GSW,03/08/2017,48,99,37,84,44.0,10,29,34.5,15,19,78.9,9,36,45,28,14,12,1,10,13,GSW,86,37,84,44.0,6,30,20.0,6,9,66.7,12,34,46,23,18,8,12,20,0,2,2017-03-08,2.0,1
BOS,BOS @ DEN,03/10/2017,48,99,34,81,42.0,12,33,36.4,19,23,82.6,9,25,34,19,18,11,2,23,-20,DEN,119,45,85,52.9,12,31,38.7,17,22,77.3,11,39,50,24,19,11,4,18,0,2,2017-03-10,2.0,0
